life_expectancy_years,child_mortality_0_5_year_olds_dying_per_1000_born,children_and_elderly_per_100_adults,children_per_woman_total_fertility,crude_death_rate_deaths_per_1000_population,income_per_person_gdppercapita_ppp_inflation_adjusted,population_growth_annual_percent_with_projections,population_total,life_expectancy_sex_ratio,population_sex_ratio,country
67.84,63.787,92.978,5.29,7.808,1574.0,2.947,2163765.0,0.9556855657026888,0.9800301793834,gmb
59.66,84.103,77.683,4.48,10.062,1547.0,2.424,1907268.0,0.9412598609049516,0.9694433257953596,gnb
66.13,86.216,72.764,4.51,9.85,20459.0,3.518,1313894.0,0.9551740901547282,1.2433092309137008,gnq
81.34,3.474,56.768,1.3,10.883,25498.0,-0.158,11142161.0,0.9412163528446196,0.96892667097956,grc
73.2,26.327,67.553,2.87,4.79,7533.0,1.926,17245346.0,0.9167391106901428,0.9695885360691928,gtm
68.15,31.837,47.359,2.46,8.306,7739.0,0.553,782225.0,0.9316667147514496,1.021459637842769,guy
73.06,17.871,53.898,2.39,4.809,4591.0,1.612,9417167.0,0.932928342804886,0.9945472317325909,hnd
77.66,4.416,53.667,1.45,12.883,22620.0,-0.591,4164783.0,0.920337082804588,0.9311400749035884,hrv
64.52,64.406,60.079,2.82,8.499,1713.0,1.177,11112945.0,0.9331506683419368,0.9778429883827592,hti
75.9,5.053,50.818,1.4,12.971,26936.0,-0.342,9688847.0,0.9126789597395578,0.9080167318929012,hun
72.03,25.007,47.932,2.31,7.196,11650.0,1.039,266794980.0,0.9398399821582892,1.0132176104855413,idn
69.1,41.064,50.957,2.28,7.354,6890.0,1.092,1354051854.0,0.955573162794646,1.075159747694637,ind
81.49,2.79,55.707,1.98,6.602,65622.0,0.89,4803748.0,0.9539988296690832,0.9846438026553674,irl
76.47,13.93,41.495,1.61,4.484,17402.0,1.011,82011735.0,0.9700470633743794,1.0111657922780717,irn
82.6,2.083,53.625,1.91,6.542,47356.0,0.82,337780.0,0.9667258522727272,1.007989585005261,isl
82.41,3.333,66.028,2.92,5.332,33434.0,1.552,8452841.0,0.9615794837761608,0.9882586360193631,isr
82.62,2.908,58.24,1.5,10.647,35192.0,-0.121,59290969.0,0.949798092116814,0.951959698833594,ita
75.18,14.714,48.188,1.98,7.094,8517.0,0.277,2898677.0,0.9392324907176642,0.9900151653600932,jam
84.17,2.757,67.902,1.48,10.896,39105.0,-0.248,127185332.0,0.9261725734721012,0.9539576200386104,jpn
71.96,11.457,54.696,2.57,8.774,24171.0,1.056,18403860.0,0.8718824188428607,0.939213150165299,kaz
67.35,47.142,78.693,3.74,5.602,3109.0,2.468,50950879.0,0.9329744896498412,0.9880554456193474,ken
71.45,20.644,58.709,2.91,6.242,3493.0,1.415,6132932.0,0.8930953836340926,0.9831044856812852,kgz
69.35,27.041,55.816,2.5,5.968,3832.0,1.469,16245729.0,0.9405914353466314,0.9532659501765736,khm
81.35,3.08,38.981,1.33,6.131,36767.0,0.349,51164435.0,0.9296687610422736,1.0011759995800869,kor
67.93,58.81,61.224,2.59,6.503,6306.0,1.48,6961210.0,0.95395128179088,0.9959840658652194,lao
80.45,7.97,45.514,1.71,4.731,13438.0,-0.135,6093509.0,0.958647352451796,1.006843709501328,lbn
65.43,61.142,79.874,4.45,7.444,801.0,2.532,4853516.0,0.9680143811309644,1.0190388593740185,lbr
77.82,8.607,51.823,2.02,7.088,12382.0,0.339,20950041.0,0.9155473408362976,0.92381477378779,lka
51.12,85.792,66.593,3.0,12.325,2960.0,1.311,2263010.0,0.9236761764396252,0.9448752038969456,lso
75.31,4.773,51.448,1.67,14.337,30368.0,-0.449,2876475.0,0.8687734199350488,0.8545576576036394,ltu
82.39,2.297,45.015,1.59,7.245,99034.0,1.147,590321.0,0.9495886117278306,1.010637102130486,lux
